"","keyword","date","hits"
"1","suicide -squad",2019-03-03,78
"2","suicide -squad",2019-03-10,73
"3","suicide -squad",2019-03-17,76
"4","suicide -squad",2019-03-24,86
"5","suicide -squad",2019-03-31,72
"6","suicide -squad",2019-04-07,70
"7","suicide -squad",2019-04-14,71
"8","suicide -squad",2019-04-21,72
"9","suicide -squad",2019-04-28,73
"10","suicide -squad",2019-05-05,68
"11","suicide -squad",2019-05-12,69
"12","suicide -squad",2019-05-19,65
"13","suicide -squad",2019-05-26,62
"14","suicide -squad",2019-06-02,64
"15","suicide -squad",2019-06-09,63
"16","suicide -squad",2019-06-16,60
"17","suicide -squad",2019-06-23,68
"18","suicide -squad",2019-06-30,61
"19","suicide -squad",2019-07-07,61
"20","suicide -squad",2019-07-14,60
"21","suicide -squad",2019-07-21,62
"22","suicide -squad",2019-07-28,63
"23","suicide -squad",2019-08-04,84
"24","suicide -squad",2019-08-11,96
"25","suicide -squad",2019-08-18,69
"26","suicide -squad",2019-08-25,66
"27","suicide -squad",2019-09-01,71
"28","suicide -squad",2019-09-08,100
"29","suicide -squad",2019-09-15,74
"30","suicide -squad",2019-09-22,75
"31","suicide -squad",2019-09-29,71
"32","suicide -squad",2019-10-06,69
"33","suicide -squad",2019-10-13,76
"34","suicide -squad",2019-10-20,69
"35","suicide -squad",2019-10-27,73
"36","suicide -squad",2019-11-03,72
"37","suicide -squad",2019-11-10,65
"38","suicide -squad",2019-11-17,69
"39","suicide -squad",2019-11-24,63
"40","suicide -squad",2019-12-01,68
"41","suicide -squad",2019-12-08,65
"42","suicide -squad",2019-12-15,59
"43","suicide -squad",2019-12-22,61
"44","suicide -squad",2019-12-29,60
"45","suicide -squad",2020-01-05,58
"46","suicide -squad",2020-01-12,62
"47","suicide -squad",2020-01-19,67
"48","suicide -squad",2020-01-26,69
"49","suicide -squad",2020-02-02,66
"50","suicide -squad",2020-02-09,71
"51","suicide -squad",2020-02-16,78
"52","suicide -squad",2020-02-23,70
"53","suicide -squad",2020-03-01,68
"54","suicide -squad",2020-03-08,60
"55","suicide -squad",2020-03-15,48
"56","suicide -squad",2020-03-22,54
"57","suicide -squad",2020-03-29,58
"58","suicide -squad",2020-04-05,58
"59","suicide -squad",2020-04-12,55
"60","suicide -squad",2020-04-19,58
"61","crisis text line",2019-03-03,60
"62","crisis text line",2019-03-10,64
"63","crisis text line",2019-03-17,54
"64","crisis text line",2019-03-24,51
"65","crisis text line",2019-03-31,55
"66","crisis text line",2019-04-07,52
"67","crisis text line",2019-04-14,48
"68","crisis text line",2019-04-21,32
"69","crisis text line",2019-04-28,57
"70","crisis text line",2019-05-05,34
"71","crisis text line",2019-05-12,44
"72","crisis text line",2019-05-19,58
"73","crisis text line",2019-05-26,35
"74","crisis text line",2019-06-02,62
"75","crisis text line",2019-06-09,76
"76","crisis text line",2019-06-16,67
"77","crisis text line",2019-06-23,45
"78","crisis text line",2019-06-30,52
"79","crisis text line",2019-07-07,40
"80","crisis text line",2019-07-14,52
"81","crisis text line",2019-07-21,55
"82","crisis text line",2019-07-28,47
"83","crisis text line",2019-08-04,60
"84","crisis text line",2019-08-11,60
"85","crisis text line",2019-08-18,45
"86","crisis text line",2019-08-25,31
"87","crisis text line",2019-09-01,32
"88","crisis text line",2019-09-08,74
"89","crisis text line",2019-09-15,52
"90","crisis text line",2019-09-22,33
"91","crisis text line",2019-09-29,58
"92","crisis text line",2019-10-06,40
"93","crisis text line",2019-10-13,51
"94","crisis text line",2019-10-20,43
"95","crisis text line",2019-10-27,38
"96","crisis text line",2019-11-03,67
"97","crisis text line",2019-11-10,44
"98","crisis text line",2019-11-17,56
"99","crisis text line",2019-11-24,43
"100","crisis text line",2019-12-01,50
"101","crisis text line",2019-12-08,46
"102","crisis text line",2019-12-15,35
"103","crisis text line",2019-12-22,43
"104","crisis text line",2019-12-29,29
"105","crisis text line",2020-01-05,45
"106","crisis text line",2020-01-12,54
"107","crisis text line",2020-01-19,50
"108","crisis text line",2020-01-26,44
"109","crisis text line",2020-02-02,47
"110","crisis text line",2020-02-09,43
"111","crisis text line",2020-02-16,48
"112","crisis text line",2020-02-23,56
"113","crisis text line",2020-03-01,38
"114","crisis text line",2020-03-08,48
"115","crisis text line",2020-03-15,84
"116","crisis text line",2020-03-22,80
"117","crisis text line",2020-03-29,94
"118","crisis text line",2020-04-05,84
"119","crisis text line",2020-04-12,100
"120","crisis text line",2020-04-19,99
"121","kill myself",2019-03-03,99
"122","kill myself",2019-03-10,94
"123","kill myself",2019-03-17,84
